,road,id,model_type,name,lat,lon,length,condition,length_class
508,N1,LRP283c,bridge,NOYAKHALARMUK,22.1230775989717,92.071701048329,15.4,A,M
509,N1,LRP283cr,link,road254,22.118215042039,92.07219397629216,1169.6000000000022,-,-
510,N1,LRP284a,bridge,KARANERHAT CULVERT,22.1133524851063,92.0726869042553,5.0,A,S
511,N1,LRP284ar,link,road255,22.10581552755315,92.07374366312766,1555.0000000000023,-,-
512,N1,LRP286b,bridge,KARANERHAT CULVERT,22.09827857,92.074800422,7.2,A,S
513,N1,LRP286br,link,road256,22.09117270078945,92.0839986798995,2529.799999999978,-,-
514,N1,LRP288a,bridge,MITADIGI ACADEMY,22.0840668315789,92.093196937799,2.0,A,S
515,N1,LRP288ar,link,road257,22.08229371978945,92.09584123461374,706.0000000000268,-,-
516,N1,LRP289a,bridge,MITADIGI,22.080520608,92.0984855314285,12.6,A,M
517,N1,LRP289ar,link,road258,22.07504034467795,92.10138047757864,1387.3999999999774,-,-
518,N1,LRP291a,bridge,Raj Ghata Bridge,22.0695600813559,92.1042754237288,30.3,B,M
519,N1,LRP291ar,link,road259,22.0687350185931,92.10491421363115,205.69999999998998,-,-
520,N1,LRP291c,bridge,THAKUR DIGI BOX CULVERT,22.0679099558303,92.1055530035335,2.0,A,S
521,N1,LRP291cr,link,road260,22.06583333580985,92.10632955650355,523.0000000000341,-,-
522,N1,LRP291d,bridge,KHORIANAGAR BRIDGE,22.0637567157894,92.1071061094736,38.8,A,M
523,N1,LRP291dr,link,road261,22.0623214328947,92.1074197397368,291.1999999999841,-,-
524,N1,LRP292a,bridge,NOYA PARA BOX CULVERT,22.06088615,92.10773337,2.5,A,S
525,N1,LRP292ar,link,road262,22.05869563276695,92.10840941461166,507.4999999999909,-,-
526,N1,LRP292b,bridge,PODUA NOYA PARA BOX CULVERT,22.0565051155339,92.1090854592233,8.2,A,S
527,N1,LRP292br,link,road263,22.05421737873465,92.10907342396645,503.80000000000047,-,-
528,N1,LRP293a,bridge,PODUA BAZAR BOX CULVERT,22.0519296419354,92.1090613887096,12.6,A,M
529,N1,LRP293ar,link,road264,22.0501504826989,92.1086276203229,374.40000000000043,-,-
530,N1,LRP293c,bridge,PODUA BAZAR BOX CULVERT,22.0483713234624,92.1081938519362,6.0,A,S
531,N1,LRP293cr,link,road265,22.04298058801985,92.10609148060726,1364.999999999981,-,-
532,N1,LRP294c,bridge,TALOCKDAR PARA,22.0375898525773,92.1039891092783,2.5,A,S
533,N1,LRP294cr,link,road266,22.03472736861665,92.10405688797246,649.5000000000437,-,-
534,N1,LRP295a,bridge,AMIRABAD BOX CULVERT,22.031864884656,92.1041246666666,2.5,A,S
535,N1,LRP295ar,link,road267,22.030283124146152,92.10377699696966,374.50000000000955,-,-
536,N1,LRP295b,bridge,AMIRABAD PC GIDER BRIDGE,22.0287013636363,92.1034293272727,68.8,A,L
537,N1,LRP295br,link,road268,22.02735295556675,92.10306303582766,253.19999999994587,-,-
538,N1,LRP296a,bridge,AMIRABAD LOHAGOR BOX CULVERT,22.0260045474972,92.1026967443826,2.0,A,S
539,N1,LRP296ar,link,road269,22.02325128767055,92.10206225626496,648.0000000000341,-,-
540,N1,LRP296b,bridge,AMIRABAD LOHAGORA BOX CULVERT,22.0204980278439,92.1014277681473,10.0,A,M
541,N1,LRP296br,link,road270,22.0141590390832,92.0971021747188,1821.0000000000173,-,-
542,N1,LRP298a,bridge,LOHAGORA L.S BOX CULVERT,22.0078200503225,92.0927765812903,3.0,A,S
543,N1,LRP298ar,link,road271,22.005996332150453,92.09167260795695,488.9999999999618,-,-
544,N1,LRP299a,bridge,DIGIRPARK BOX CULVERT,22.0041726139784,92.0905686346236,12.6,A,M
545,N1,LRP299ar,link,road272,22.002301126989202,92.0894440056451,495.4000000000382,-,-
546,N1,LRP299c,bridge,DIGIRPAR BOX CULVERT,22.00042964,92.0883193766666,6.2,A,S
547,N1,LRP299cr,link,road273,21.99813280208405,92.0878891446404,538.799999999959,-,-
548,N1,LRP300a,bridge,ZADUNAGOR FILLING BOX CULVERT,21.9958359641681,92.0874589126142,3.0,A,S
549,N1,LRP300ar,link,road274,21.99403470143885,92.0869085599937,420.9999999999782,-,-
550,N1,LRP300d,bridge,KHASMOHAL ADUNAICR PC GIDER BRIDGE,21.9922334387096,92.0863582073732,58.8,A,L
551,N1,LRP300dr,link,road275,21.991256841542302,92.0860220868116,173.20000000002773,-,-
552,N1,LRP301a,bridge,ZADUNAGOR BUS STATION BOX CULVERT,21.990280244375,92.08568596625,14.2,A,M
553,N1,LRP301ar,link,road276,21.988660559256452,92.0848401658836,393.8000000000155,-,-
554,N1,LRP301b,bridge,Adunagar Bridge,21.9870408741379,92.0839943655172,22.0,B,M
555,N1,LRP301br,link,road277,21.9844724589557,92.08238384596609,647.9999999999591,-,-
