,road,id,model_type,name,lat,lon,length,condition
614,N1,LRP321d,bridge,BODAITALI BOX CULVERT,21.8211428750483,92.0740201388781,12.4,A
615,N1,LRP321dr,link,road309,21.804498441717648,92.07643707266485,533.5999999999923,-
616,N1,LRP322a,bridge,BODOITOLI BOX CULVERT,21.8181692602209,92.0739442353591,14.0,A
617,N1,LRP322ar,link,road310,21.802583372110448,92.0764467756795,322.9999999999891,-
618,N1,LRP323b,bridge,BANIYAR CHORA,21.8034238025641,92.0772322128205,14.0,A
619,N1,LRP323br,link,road311,21.793809566837602,92.078237374188,1808.0000000000027,-
620,N1,LRP325a,bridge,NOL BELA-1 BOX CULVERT,21.787854008387,92.0788540064516,20.6,A
621,N1,LRP325ar,link,road312,21.7806939653046,92.08138423989246,1751.3999999999915,-
622,N1,LRP325c,bridge,NOL BELA BOX CULVERT,21.786997484,92.0789493159999,21.0,A
623,N1,LRP325cr,link,road313,21.7792959097474,92.0805296353037,75.99999999997999,-
624,N1,LRP326a,bridge,NOLBELA BOX CULVERT,21.7841953311111,92.0792425355555,14.2,B
625,N1,LRP326ar,link,road314,21.7621709748041,92.08093345506094,303.8000000000405,-
626,N1,LRP327a,bridge,DIDDA BAZAR BOX CULVERT,21.7735339222222,92.0839144733333,15.7,A
627,N1,LRP327ar,link,road315,21.756048420685552,92.0835510526241,1416.2999999999595,-
628,N1,LRP328a,bridge,Mathamuhuri Bridge,21.7715943354948,92.0821099546075,294.15,D
629,N1,LRP328ar,link,road316,21.7521005975268,92.08292939384785,33.8500000000314,-
630,N1,LRP331a,bridge,BANDI BAZAR BOX CULVERT,21.7401466184971,92.0826243745664,9.3,B
631,N1,LRP331ar,link,road317,21.735567224994398,92.08322000938259,3923.6999999999925,-
632,N1,LRP332a,bridge,KUMARIKOOL BOX CULVERT,21.7385629191489,92.0831876319149,14.0,A
633,N1,LRP332ar,link,road318,21.73131842662815,92.08336589019544,173.99999999998818,-
634,N1,LRP332b,bridge,PASIYAKALI BOX CULVERT,21.7326068595588,92.0837488330882,5.2,A
635,N1,LRP332br,link,road319,21.72092911773005,92.08221194671485,668.7999999999781,-
636,N1,LRP332c,bridge,Pasiyakali Bridge,21.7309878314917,92.0838156441988,38.4,C
637,N1,LRP332cr,link,road320,21.7169089342942,92.08123063468,144.60000000004956,-
638,N1,LRP333a,bridge,HASIRUGIGI,21.7240739341074,92.083544148476,12.6,A
639,N1,LRP333ar,link,road321,21.7001766120177,92.08017581164805,769.3999999999822,-
640,N1,LRP335a,bridge,CHOHAJANYA (1),21.7092513759013,92.0806750603415,12.8,A
641,N1,LRP335ar,link,road322,21.69067816809245,92.0785371567665,1827.199999999975,-
642,N1,LRP336a,bridge,CHOHAJANIYA (2),21.7028300370967,92.0786456251612,9.3,A
643,N1,LRP336ar,link,road323,21.6828852393055,92.0768586355571,779.7000000000442,-
644,N1,LRP339a,bridge,Polia Fari Bridge,21.676279289928,92.0768074748201,58.57,C
645,N1,LRP339ar,link,road324,21.668166795816248,92.07595502064865,3063.429999999957,-
646,N1,LRP339c,bridge,DULAHAJARA (SAFARI PARK),21.6721049602836,92.0763992531915,14.0,A
647,N1,LRP339cr,link,road325,21.66148051305315,92.07498058672229,459.0000000000132,-
648,N1,LRP340a,bridge,DULAHAJARA CULVERT,21.6629404415143,92.075071645953,3.5,A
649,N1,LRP340ar,link,road326,21.655512601235202,92.07420043433106,962.5000000000082,-
650,N1,LRP341a,bridge,Dulahajar Bridge,21.6600543017045,92.0751025664772,54.03,C
651,N1,LRP341ar,link,road327,21.6412947448577,92.0744030216582,267.97000000000276,-
652,N1,LRP342a,bridge,BOYRAGIR KHIL,21.6508560658227,92.0735619202531,61.0,C
653,N1,LRP342ar,link,road328,21.634616363111853,92.0713666289235,999.9999999999786,-
654,N1,LRP342c,bridge,PAGOLARIBIL,21.6480847609561,92.0733292227091,4.5,A
655,N1,LRP342cr,link,road329,21.623339145553402,92.06756523195756,314.5000000000168,-
656,N1,LRP345a,bridge,KHUTAKHALI,21.6225351880109,92.0737034768392,1.45,B
657,N1,LRP345ar,link,road330,21.6093044426765,92.06755650885145,3179.5499999999834,-
658,N1,LRP346a,bridge,khutakhali bazar,21.618376660401,92.0691713375939,45.3,B
659,N1,LRP346ar,link,road331,21.603903817210302,92.06610134428715,621.7000000000301,-
660,N1,LRP348a,bridge,FULCHARI CULVERT,21.5985935301507,92.061801241206,9.3,A
661,N1,LRP348ar,link,road332,21.59309816507535,92.0633530134601,1859.6999999999714,-
662,N1,LRP348b,bridge,FULCHARI BAZAR,21.5960736973421,92.0614095408637,14.0,A
663,N1,LRP348br,link,road333,21.589573911188097,92.06356269368766,422.00000000003547,-
664,N1,LRP349a,bridge,NAPITE KHALI CULVERT,21.5894309740196,92.0630313509804,1.4,A
665,N1,LRP349ar,link,road334,21.58191924515485,92.06688801110255,575.5999999999982,-
666,N1,LRP349b,bridge,NAPITE KHALI,21.5876028,92.0649047857142,4.5,C
667,N1,LRP349br,link,road335,21.5749614844444,92.06735935544965,516.4999999999582,-
668,N1,LRP350a,bridge,EAST NAPITL KHAL BOX CULVERT,21.5830741250341,92.0657158465116,2.5,A
669,N1,LRP350ar,link,road336,21.57168919227575,92.0674317232558,529.5000000000391,-
670,N1,LRP351a,bridge,NAEK KHALI BOX CULVERT,21.5744075162901,92.0707446712247,12.4,A
671,N1,LRP351ar,link,road337,21.56694838374825,92.06984638561235,1032.599999999959,-
672,N1,LRP352a,bridge,KHODIA BARI PRIMARY BOX CULVERT,21.5623201688888,92.0698139251851,9.5,A
673,N1,LRP352ar,link,road338,21.5588728905668,92.06888212483744,1512.5000000000482,-
674,N1,LRP353a,bridge,ISLAMABAD KHODIABARI BOX CULVERT,21.5603042595174,92.0691476,4.8,A
675,N1,LRP353ar,link,road339,21.55368543303735,92.0680214877049,251.1999999999718,-
676,N1,LRP353b,bridge,ISLAMABAD KHODIA BARI BOX CULVERT,21.5594892512064,92.0689481,7.0,A
677,N1,LRP353br,link,road340,21.542509495370602,92.0671366622093,106.9999999999759,-
678,N1,LRP354a,bridge,EIDGAON BAZAR PC GIDER BRIDGE,21.5554256122448,92.0679503244898,46.0,A
679,N1,LRP354ar,link,road341,21.53957942007585,92.06676254218675,587.0000000000382,-
680,N1,LRP354d,bridge,eidgaon,21.5470666065573,92.0668953754098,44.6,C
681,N1,LRP354dr,link,road342,21.533918773649,92.06651971918635,721.3999999999627,-
682,N1,LRP357a,bridge,SHAT GOREA PARA BOX CULVERT,21.5255297395348,92.0653252244186,14.0,A
683,N1,LRP357ar,link,road343,21.52251927436195,92.0659999273444,2301.0000000000546,-
